vR,vL
-0.07,0
0.172078329,1.221336305
0.414160122,2.442669146
0.656235854,3.664008049
0.824140854,4.81117622
0.334517927,5.300799146
-0.155113659,5.790430732
-0.644745244,6.280062317
-1.134368171,6.769685244
-0.644745244,6.280062317
-0.155113659,5.790430732
0.334517927,5.300799146
0.824140854,4.81117622
1.313772439,4.321544634
1.803404024,3.831913049
2.293029549,3.342287524
2.782658537,2.852658537
3.272287524,2.363029549
3.781913049,1.873404024
4.271544634,1.383772439
4.271544634,1.383772439
4.271544634,1.383772439
3.781913049,1.873404024
3.781913049,1.873404024
3.292287524,2.363029549
3.292287524,2.363029549
3.292287524,2.363029549
3.292287524,2.363029549
3.292287524,2.363029549
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
3.292287524,2.363029549
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.313029549,3.342287524
1.823404024,3.831913049
1.333772439,4.321544634
1.333772439,4.321544634
1.333772439,4.321544634
1.823404024,3.831913049
1.823404024,3.831913049
1.823404024,3.831913049
2.313029549,3.342287524
2.313029549,3.342287524
2.313029549,3.342287524
2.313029549,3.342287524
2.313029549,3.342287524
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.313029549,3.342287524
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.313029549,3.342287524
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
2.802658537,2.852658537
